trase_code,uml_id,group,company,mill_name,latitude,longitude,capacity_tonnes_ffb_hour,status,earliest_year_of_existence,earliest_year_of_existence_source,kabupaten_name,kabupaten_trase_id,province_name
M-00001,PO1000004269,SUMBER TANI HARAPAN (STH),ABDI BUDI MULIA,ABDI BUDI MULIA 1,2.05244675,100.25311,60,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA
M-00002,PO1000008154,SUMBER TANI HARAPAN (STH),ABDI BUDI MULIA,ABDI BUDI MULIA 2,2.112375117,100.2730978,45,Operating,2016,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA
M-00003,PO1000008417,UNKNOWN,PALM LAMPUNG PERSADA,PALM LAMPUNG PERSADA,-4.374613829,104.5994974,60,Operating,2009,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),WAY KANAN,ID-1807,LAMPUNG
M-00006,PO1000004351,ADIMULIA,ADIMULIA AGROLESTARI,ADIMULIA AGROLESTARI,-0.110303437,101.3869601,30,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",KUANTAN SINGINGI,ID-1401,RIAU
M-00007,PO1000007616,INCASI RAYA (GUNAS),SUMATERA JAYA AGRO LESTARI,TOBA,-0.410197115,110.182517,60,Operating,2013,Establishment year based on other government record of establishment (e.g. Permit database),SANGGAU,ID-6105,KALIMANTAN BARAT
M-00008,PO1000000284,SAMPOERNA AGRO,AEK TARUM,BELIDA,-3.838334315,104.9719797,60,Operating,1996,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",OGAN KOMERING ILIR,ID-1602,SUMATERA SELATAN
M-00009,PO1000004554,UNKNOWN,AGRI ANDALAS,DERMAYU,-3.99753277,102.4291527,30,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",SELUMA,ID-1705,BENGKULU
M-00010,PO1000004072,UNKNOWN,AGRICINAL,AGRICINAL,-3.200968788,101.6297859,45,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",BENGKULU UTARA,ID-1703,BENGKULU
M-00011,PO1000006188,GOODHOPE,AGRO INDOMAS,BUMI JAYA,-1.015181968,116.689629,45,Operating,2015,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),PENAJAM PASER UTARA,ID-6409,KALIMANTAN TIMUR
M-00012,PO1000010073,KALIMANTAN PLANTATION UNIT (KPU),ADITYA AGROINDO,SIMPANG HULU BARAT,-0.4393,110.23474,60,Operating,2015,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KETAPANG,ID-6106,KALIMANTAN BARAT
M-00014,PO1000007533,KPN CORP,WAWASAN KEBUN NUSANTARA,SUNGAI KUMBAH,1.267897021,109.8158151,45,Operating,2016,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",BENGKAYANG,ID-6102,KALIMANTAN BARAT
M-00016,PO1000004475,WILMAR,AGRONUSA INVESTAMA,PAHOMAN,0.274499077,109.7314327,30,Operating,2011,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),LANDAK,ID-6103,KALIMANTAN BARAT
M-00017,PO1000004392,SARIMAS,AGRO SARIMAS INDONESIA,AGRO SARIMAS INDONESIA,-0.516701989,102.9204765,45,Operating,2008,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),INDRAGIRI HILIR,ID-1403,RIAU
M-00018,PO1000008386,UNKNOWN,AGRO WIJAYA INDUSTRI,AGRO WIJAYA INDUSTRI,-1.760682525,102.2437625,45,Operating,2017,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",MERANGIN,ID-1502,JAMBI
M-00019,PO1000008158,UNKNOWN,AGRO WIRA LIGATSA,AGRO WIRA LIGATSA,0.224446206,99.7158408,30,Operating,2015,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",PASAMAN BARAT,ID-1312,SUMATERA BARAT
M-00020,PO1000001637,SINAR MAS,AGRO LESTARI MANDIRI,PEKAWAI,-1.519484673,110.4586908,60,Operating,2010,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KETAPANG,ID-6106,KALIMANTAN BARAT
M-00022,PO1000004218,UNKNOWN,AGUNG AGRO LESTARI,AGUNG AGRO LESTARI,2.540028507,99.88342475,45,Operating,2008,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",LABUHAN BATU UTARA,ID-1223,SUMATERA UTARA
M-00023,PO1000004217,BAKRIE,GRAHADURA LEIDONGPRIMA,LEIDONG MAKMUR,2.584444247,99.78526212,30,Operating,2004,"Mill known to exist in 2004 (source: Golder Associates (2006). Appendix VIII: Summary of Renewable Potential in Indonesia POM, Retrieved October 10, 2018, http://www.adb.org/Documents/Reports/Consulta nt/46557-INO/36557-INO-TACR- AppendixVIII.pdf)",LABUHAN BATU UTARA,ID-1223,SUMATERA UTARA
M-00025,PO1000004842,UNKNOWN,ANEKA PURA MULTI KERTA,KAMPUNG BARU,-1.079988593,103.0069682,30,Operating,2012,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),TANJUNG JABUNG BARAT,ID-1507,JAMBI
M-00026,PO1000007627,ANGLO-EASTERN PLANTATION (AEP),SAWIT GRAHA MANUNGGAL,SAWIT GRAHA MANUNGGAL,-2.07272,115.06854,90,Operating,2015,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),BARITO TIMUR,ID-6212,KALIMANTAN TENGAH
M-00027,PO1000004942,ANGLO-EASTERN PLANTATION (AEP),MITRA PUDING MAS,MITRA PUDING MAS,-3.134565272,101.6015438,80,Operating,2002,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",BENGKULU UTARA,ID-1703,BENGKULU
M-00028,PO1000004215,ANGLO-EASTERN PLANTATION (AEP),ALNO AGRO UTAMA,SUMIDO,-3.132413407,101.8769195,60,Operating,2010,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",BENGKULU UTARA,ID-1703,BENGKULU
M-00029,PO1000004419,ANGLO-EASTERN PLANTATION (AEP),BINA FITRI JAYA,BINA FITRI JAYA,0.809229071,101.2775429,60,Operating,2007,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",SIAK,ID-1405,RIAU
M-00030,PO1000004476,ANGLO-EASTERN PLANTATION (AEP),TASIK RAJA,TASIK RAJA,1.669279923,100.1615075,80,Operating,1991,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA
M-00031,PO1000004344,ANGLO-EASTERN PLANTATION (AEP),UNITED KINGDOM INDONESIA PLANTATION,BLANKAHAN,3.494876376,98.39794084,45,Operating,2004,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",LANGKAT,ID-1213,SUMATERA UTARA
M-00033,PO1000004116,DHANISTHA SURYA NUSANTARA,ANTANG GANDA UTAMA,BUTONG,-1.11326401,114.8877118,60,Operating,1996,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),BARITO UTARA,ID-6205,KALIMANTAN TENGAH
M-00034,PO1000004078,SUPERVENTURE,BUMI MENTARI KARYA,BUMI MENTARI KARYA,-2.875684921,101.423835,45,Operating,2006,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",MUKO-MUKO,ID-1706,BENGKULU
M-00035,PO1000004403,SUPERVENTURE,BUMI MENTARI KARYA,KAMPAR,0.624844799,101.1396888,45,Operating,2005,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KAMPAR,ID-1406,RIAU
M-00036,PO1000006222,SUPERVENTURE,KEMILAU PERMATA SAWIT,TAPAN,-2.201520558,101.0890101,60,Operating,2014,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",PESISIR SELATAN,ID-1302,SUMATERA BARAT
M-00037,PO1000004110,SUPERVENTURE,MITRA SAWIT JAMBI,MITRA SAWIT JAMBI,-1.317021574,103.0866297,45,Operating,2003,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),TANJUNG JABUNG BARAT,ID-1507,JAMBI
M-00039,PO1000004576,UNKNOWN,ANUGRAH FAJAR REZEKI,ANUGRAH FAJAR REZEKI,4.57298126,97.90862625,30,Operating,2014,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ACEH TIMUR,ID-1105,ACEH
M-00040,PO1000008388,UNKNOWN,AGRO SERASI LESTARI,AGRO SERASI LESTARI,2.706581,99.618478,45,Operating,2013,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ASAHAN,ID-1208,SUMATERA UTARA
M-00041,PO1000004575,SUPERVENTURE,ANUGERAH PELANGI SUKSES,ANUGERAH PELANGI SUKSES,-4.560968852,103.1137341,45,Operating,2015,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KAUR,ID-1704,BENGKULU
M-00042,PO1000007457,ANUGERAH TANI MAKMUR,ANUGERAH TANI MAKMUR,ANUGERAH TANI MAKMUR,0.536222,101.602024,45,Operating,2016,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),SIAK,ID-1405,RIAU
M-00043,PO1000004513,TRIBUANA GLOBAL,ANUGRAH TANJUNG MEDAN,ANUGRAH TANJUNG MEDAN,2.062311524,100.1471838,30,Operating,2013,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA
M-00044,PO1000002631,FIRST RESOURCES,ARINDO TRISEJAHTERA,ARINDO TRISEJAHTERA,0.580230126,100.9254137,45,Operating,1998,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KAMPAR,ID-1406,RIAU
M-00045,PO1000007549,FIRST BORNEO PLANTATIONS (FBP),ARJUNA UTAMA SAWIT,ARJUNA UTAMA SAWIT,-2.253390429,113.3793637,45,Operating,2015,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),KATINGAN,ID-6209,KALIMANTAN TENGAH
M-00046,PO1000004214,ASAM JAWA,SAPTA KARYA DAMAI,SAPTA KARYA DAMAI,-2.58287,112.62698,60,Operating,2009,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),KOTAWARINGIN TIMUR,ID-6202,KALIMANTAN TENGAH
M-00047,PO1000008170,MUSIRAWAS,MUSIRAWAS CITRA HARPINDO,PKS 2,-2.449909836,112.2130869,60,Operating,2011,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),SERUYAN,ID-6208,KALIMANTAN TENGAH
M-00048,PO1000004192,MUSIRAWAS,MUSIRAWAS CITRA HARPINDO,PKS 1,-2.397714496,112.2236693,30,Operating,2001,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),SERUYAN,ID-6208,KALIMANTAN TENGAH
M-00049,PO1000004931,MAHITALA INGKENG GEMAH (MIG),SWADAYA SAPTA PUTRA,SWADAYA SAPTA PUTRA,-1.993683,112.831683,45,Operating,2009,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),KOTAWARINGIN TIMUR,ID-6202,KALIMANTAN TENGAH
M-00050,PO1000008591,MUSIRAWAS,UNI PRIMACOM,UNI PRIMACOM PKS 1,-1.943682766,112.7286586,20,Operating,2005,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),KOTAWARINGIN TIMUR,ID-6202,KALIMANTAN TENGAH
M-00051,PO1000009022,MUSIRAWAS,UNI PRIMACOM,UNI PRIMACOM PKS 2,-1.861798569,112.7206596,45,Operating,2014,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),KOTAWARINGIN TIMUR,ID-6202,KALIMANTAN TENGAH
M-00052,PO1000004500,ASAM JAWA,ASAM JAWA,ASAM JAWA,1.900209526,100.1863786,60,Operating,1987,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",LABUHAN BATU SELATAN,ID-1222,SUMATERA UTARA
M-00053,PO1000007468,SK PLUS,ASIA SAWIT LESTARI,ASIA SAWIT LESTARI,-1.837258827,103.3778601,45,Operating,2015,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",BATANG HARI,ID-1504,JAMBI
M-00054,PO1000004315,SUPERVENTURE,ASIA SAWIT MAKMUR JAYA,ASIA SAWIT MAKMUR JAYA,-0.48549,101.45201,45,Operating,2006,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KUANTAN SINGINGI,ID-1401,RIAU
M-00056,PO1000006173,ROYAL GOLDEN EAGLE,INTI INDOSAWIT SUBUR,TANJUNG PAUH,-0.098462075,101.2976458,45,Operating,2012,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KUANTAN SINGINGI,ID-1401,RIAU
M-00058,PO1000004265,SUPERVENTURE,SINAR SAWIT SUBUR LESTARI,SINAR SAWIT SUBUR LESTARI,1.588816476,99.87288309,60,Operating,2012,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",PADANG LAWAS UTARA,ID-1220,SUMATERA UTARA
M-00059,PO1000004266,NAGAMAS,DJAYA GLOBALINDO SENTOSA,DJAYA GLOBALINDO SENTOSA,1.695520092,101.0430114,30,Operating,2013,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),ROKAN HILIR,ID-1409,RIAU
M-00060,PO1000002607,ROYAL GOLDEN EAGLE,INDO SEPADAN JAYA,TANJUNG SELAMAT,2.12798279,100.0023763,45,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",LABUHAN BATU,ID-1207,SUMATERA UTARA
M-00061,PO1000004228,ASTRA AGRO LESTARI,SUBUR AGRO MAKMUR,SUBUR AGRO MAKMUR,-2.652922055,114.9708108,45,Operating,2012,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),HULU SUNGAI SELATAN,ID-6306,KALIMANTAN SELATAN
M-00062,PO1000004179,ASTRA AGRO LESTARI,GUNUNG SEJAHTERA IBU PERTIWI,GUNUNG SEJAHTERA IBU PERTIWI,-2.377288872,111.792925,60,Operating,1997,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),KOTAWARINGIN BARAT,ID-6201,KALIMANTAN TENGAH
M-00063,PO1000004176,ASTRA AGRO LESTARI,GUNUNG SEJAHTERA PUTI PESONA,GUNUNG SEJAHTERA PUTI PESONA,-2.365603909,111.9551152,60,Operating,2002,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),KOTAWARINGIN BARAT,ID-6201,KALIMANTAN TENGAH
M-00064,PO1000004165,ASTRA AGRO LESTARI,GUNUNG SEJAHTERA DUA INDAH,GUNUNG SEJAHTERA DUA INDAH,-2.30085,111.837333,60,Operating,2005,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),KOTAWARINGIN BARAT,ID-6201,KALIMANTAN TENGAH
M-00065,PO1000004156,ASTRA AGRO LESTARI,SURYARAYA LESTARI,SURYARAYA LESTARI 2,-2.115465,119.256649,60,Operating,2007,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",MAMUJU TENGAH,ID-7606,SULAWESI BARAT
M-00068,PO1000004093,ASTRA AGRO LESTARI,AGRO NUSA ABADI,AGRO NUSA ABADI,-2.129894,121.484959,45,Operating,2013,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",MOROWALI UTARA,ID-7212,SULAWESI TENGAH
M-00069,PO1000004932,ASTRA AGRO LESTARI,NIRMALA AGRO LESTARI,NIRMALA AGRO LESTARI,-2.091933,111.48705,50,Operating,2011,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),LAMANDAU,ID-6207,KALIMANTAN TENGAH
M-00070,PO1000004096,ASTRA AGRO LESTARI,BORNEO INDAH MARJAYA,BORNEO INDAH MARJAYA,-2.033198,116.401023,60,Operating,2012,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),PASER,ID-6401,KALIMANTAN TIMUR
M-00072,PO1000004509,ASTRA AGRO LESTARI,ASTRA AGRO LESTARI,ASTRA AGRO LESTARI 1,-1.991559733,115.509105,45,Operating,2012,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),TABALONG,ID-6309,KALIMANTAN SELATAN
M-00073,PO1000004505,ASTRA AGRO LESTARI,SARI ADITYA LOKA,SARI ADITYA LOKA 1,-1.959621251,102.3704914,60,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",MERANGIN,ID-1502,JAMBI
M-00074,PO1000004481,ASTRA AGRO LESTARI,SURYARAYA LESTARI,SURYARAYA LESTARI 1,-1.69379,119.36168,50,Operating,1996,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",MAMUJU UTARA,ID-7605,SULAWESI BARAT
M-00075,PO1000006198,ASTRA AGRO LESTARI,SUKSES TANI NUSASUBUR,SUKSES TANI NUSASUBUR,-1.381201,116.474659,45,Operating,2015,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),PENAJAM PASER UTARA,ID-6409,KALIMANTAN TIMUR
M-00076,PO1000008218,ASTRA AGRO LESTARI,LESTARI TANI TELADAN,LESTARI TANI TELADAN,-1.370466,119.486578,45,Operating,2014,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",DONGGALA,ID-7205,SULAWESI TENGAH
M-00077,PO1000004113,ASTRA AGRO LESTARI,PASANGKAYU,PASANGKAYU,-1.222355,119.472451,60,Operating,1999,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",MAMUJU UTARA,ID-7605,SULAWESI BARAT
M-00078,PO1000004372,ASTRA AGRO LESTARI,TUNGGAL PERKASA PLANTATIONS,TUNGGAL PERKASA PLANTATIONS,-0.302355532,102.2725556,70,Operating,1988,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",INDRAGIRI HULU,ID-1402,RIAU
M-00079,PO1000004935,ASTRA AGRO LESTARI,SARI LEMBAH SUBUR,SARI LEMBAH SUBUR 1,-0.049777776,102.2524444,60,Operating,1992,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",PELALAWAN,ID-1404,RIAU
M-00081,PO1000007596,ASTRA AGRO LESTARI,SARI LEMBAH SUBUR,SARI LEMBAH SUBUR 2,-0.0021,102.19644,45,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",PELALAWAN,ID-1404,RIAU
M-00082,PO1000004408,ASTRA AGRO LESTARI,KIMIA TIRTA UTAMA,KIMIA TIRTA UTAMA,0.676218,101.726641,45,Operating,1998,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",SIAK,ID-1405,RIAU
M-00083,PO1000004422,ASTRA AGRO LESTARI,EKA DURA INDONESIA,EKA DURA INDONESIA,0.884123676,100.6143997,60,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",ROKAN HULU,ID-1407,RIAU
M-00084,PO1000004843,ASTRA AGRO LESTARI,SUMBER KHARISMA PERSADA,SUMBER KHARISMA PERSADA,1.014055963,118.0485429,30,Operating,2011,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KUTAI TIMUR,ID-6404,KALIMANTAN TIMUR
M-00085,PO1000004167,ASTRA AGRO LESTARI,PERKEBUNAN LEMBAH BHAKTI,PERKEBUNAN LEMBAH BHAKTI 1,2.315968656,97.99595493,45,Operating,1993,Establishment year based on other government record of establishment (e.g. Permit database),ACEH SINGKIL,ID-1102,ACEH
M-00086,PO1000004571,ASTRA AGRO LESTARI,KARYA TANAH SUBUR,KARYA TANAH SUBUR,4.350115764,96.1645768,50,Operating,1995,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ACEH BARAT,ID-1107,ACEH
M-00087,PO1000000531,ANJ AGRO,SAHABAT MEWAH & MAKMUR,JANGKANG,-2.996917,107.87665,60,Operating,1996,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",BELITUNG TIMUR,ID-1906,KEP. BANGKA BELITUNG
M-00088,PO1000006366,ANJ AGRO,KAYUNG AGRO LESTARI,KAYUNG AGRO LESTARI,-1.449902748,110.2307209,90,Operating,2016,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",KETAPANG,ID-6106,KALIMANTAN BARAT
M-00089,PO1000001992,ANJ AGRO,AUSTINDO NUSANTARA JAYA AGRI SIAIS,AUSTINDO NUSANTARA JAYA AGRI SIAIS,1.175025727,99.15611045,60,Operating,2011,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",TAPANULI SELATAN,ID-1203,SUMATERA UTARA
M-00090,PO1000000530,ANJ AGRO,AUSTINDO NUSANTARA JAYA AGRI,BINANGA,1.47936327,99.9593074,60,Operating,1999,"Mill known to exist in 1999 (source: Taib, Gunatif (2000), Kajian Pengembangan Industri Crude Palm Oil Skala Kecil (Studi Kasus Pengembangan Industri Crude Palm Oil di Sumatera Barat), http://repository.ipb.ac.id/handle/123456789/5044)",PADANG LAWAS,ID-1221,SUMATERA UTARA
M-00091,PO1000004946,GAGAH PUTERA SATRIA (GPS),BUANA KARYA BHAKTI,BATULAKI,-3.673907128,115.4810564,90,Operating,2005,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",TANAH BUMBU,ID-6310,KALIMANTAN SELATAN
M-00092,PO1000004572,UNKNOWN,BUMI SAMA GANDA,BUMI SAMA GANDA,4.356133172,98.10782919,45,Operating,2006,Establishment year based on other government record of establishment (e.g. Permit database),ACEH TAMIANG,ID-1114,ACEH
M-00093,PO1000004101,BAKRIE,SUMBERTAMA NUSAPERTIWI,SUMBERTAMA NUSAPERTIWI,-1.680797685,103.8009845,30,Operating,2005,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",MUARO JAMBI,ID-1505,JAMBI
M-00094,PO1000000884,BAKRIE,AGRO MITRA MADANI,AGRO MITRA MADANI,-1.077165118,103.1095689,60,Operating,2004,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),TANJUNG JABUNG BARAT,ID-1507,JAMBI
M-00095,PO1000004365,BAKRIE,BAKRIE PASAMAN PLANTATIONS,AIR BALAM,0.228828553,99.47461821,60,Operating,1990,Establishment year based on other government record of establishment (e.g. Permit database),PASAMAN BARAT,ID-1312,SUMATERA BARAT
M-00096,PO1000000184,BAKRIE,BAKRIE SUMATERA PLANTATIONS,UNIT KISARAN,3.040709837,99.58323885,45,Operating,2007,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",ASAHAN,ID-1208,SUMATERA UTARA
M-00098,PO1000004522,UNKNOWN,SAWIT PERMAI ABADI,SAWIT PERMAI ABADI,3.652644047,98.42926111,,Operating,2010,"Earliest year mill found to exist based on photo-interpretation of high-resolution satellite imagery, manufacturing census data, traceability reports and other secondary sources (or combination of these sources)",LANGKAT,ID-1213,SUMATERA UTARA
M-00099,PO1000008211,NT CORP,BANGKIT GIAT USAHA MANDIRI,BANGKIT GIAT USAHA MANDIRI,-1.475288667,112.749536,45,Operating,2010,Establishment year based on dinas perkebunan record of establishment (e.g. Dinas Perkebunan Plantation Statistics report of establishment dates),KOTAWARINGIN TIMUR,ID-6202,KALIMANTAN TENGAH
M-00100,PO1000001638,SINAR MAS,KENCANA GRAHA PERMAI,KENANGA,-2.141964795,110.5164522,80,Operating,2013,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KETAPANG,ID-6106,KALIMANTAN BARAT
M-00101,PO1000004274,UNKNOWN,BANGUN SEMPURNA LESTARI,BANGUN SEMPURNA LESTARI,2.633079023,97.9504186,30,Operating,2011,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",SUBULUSSALAM (KOTA),ID-1175,ACEH
M-00103,PO1000005204,UNKNOWN,KENCANA KATARA KEWALA,KENCANA KATARA KEWALA,-3.363667362,101.8266904,30,Operating,2012,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),BENGKULU UTARA,ID-1703,BENGKULU
M-00104,PO1000004318,PASIFIK AGRO SENTOSA (PAS),CIPTA USAHA SEJATI,MABALI,-0.999893466,110.1960257,75,Operating,2014,Establishment year imputed based on Dinas Perkebunan Plantation Statistics reports (e.g. first year a mill appears in a Dinas Perkebunan Plantation Statistics report),KAYONG UTARA,ID-6111,KALIMANTAN BARAT
M-00105,PO1000001315,PASIFIK AGRO SENTOSA (PAS),BARUMUN AGRO SENTOSA,AEK SIGALA GALA,1.619682843,100.1035924,60,Operating,1995,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",PADANG LAWAS UTARA,ID-1220,SUMATERA UTARA
M-00107,PO1000005206,SAWIT LESTARI,BENGKULU SAWIT LESTARI,AIR SULAU,-4.533628845,103.0570157,30,Operating,2013,"Establishment year based off secondary sources (e.g. website, corporate report, etc)",BENGKULU SELATAN,ID-1701,BENGKULU
